P36575	ENSG00000120500
Q96H22	ENSG00000166451
Q6IPU0	ENSG00000188312
Q13352	ENSG00000142856
Q7Z7K6	ENSG00000166582
Q96LK0	ENSG00000174007
Q9P209	ENSG00000112877
Q6UWU4	ENSG00000198663
Q8N0U6	
Q6ZTR5	ENSG00000165164
Q5T655	ENSG00000120051
A5D8W1	ENSG00000105792
Q7Z4T9	ENSG00000183833
Q8N884	ENSG00000164430
P0DN86	ENSG00000104827;ENSG00000213030;ENSG00000189052
Q9Y6H1	ENSG00000106153
Q86WJ1	ENSG00000131778
Q8TDI0	ENSG00000116254
Q3L8U1	ENSG00000177200
P35790	ENSG00000110721
P06276	ENSG00000114200
Q96CF2	ENSG00000164695
Q9NRG0	ENSG00000104472
O43916	ENSG00000175264
Q9GZS9	ENSG00000135702
Q9GZX3	ENSG00000183196
Q7L1S5	ENSG00000154080
A6NGG3	ENSG00000205549
Q5T035	ENSG00000204352
Q5VTT2	ENSG00000204711
Q96Q77	ENSG00000141977
Q9BW66	ENSG00000100865
Q9NZ45	ENSG00000122873
O75390	ENSG00000062485
P49761	ENSG00000179335
Q496F6	ENSG00000186407
Q08708	ENSG00000167850
Q6UXG3	ENSG00000161649
O75153	ENSG00000132361
O75746	ENSG00000115840
Q86TY3	ENSG00000139971
Q9NSA3	ENSG00000178585
Q6NZI2	ENSG00000177469
Q969G5	ENSG00000170955
Q13938	ENSG00000105519
P52907	ENSG00000116489
P23435	ENSG00000102924
P80075	ENSG00000108700
Q8N7R7	ENSG00000163249
Q8N1A6	ENSG00000151470
Q6ZRC1	ENSG00000181215
A8MXV6	ENSG00000214819
Q13740	ENSG00000170017
Q8N6Q3	ENSG00000204936
P15391	ENSG00000177455
P29016	ENSG00000158485
P15812	ENSG00000158488
P11049	ENSG00000104894
P13987	ENSG00000085063
O43866	ENSG00000073754
P14209	ENSG00000002586
P21926	ENSG00000010278
P60953	ENSG00000070831
Q00537	ENSG00000059758
Q00534	ENSG00000105810
P50750	ENSG00000136807
O76039	ENSG00000008086
P38936	ENSG00000124762
Q16878	ENSG00000129596
O95170	ENSG00000241322
O95674	ENSG00000101290
Q49AR2	ENSG00000082213
Q9H799	ENSG00000197603
C9J3I9	ENSG00000234511
F2Z3F1	ENSG00000225940
O94986	ENSG00000103995
Q9UPV0	ENSG00000110274
P49716	ENSG00000221869
Q15744	ENSG00000092067
Q86SI9	ENSG00000186493
Q92879	ENSG00000149187
Q8WUJ3	ENSG00000103888
Q02224	ENSG00000138778
Q9BS16	ENSG00000123219
Q9BU64	ENSG00000138092
Q7L2Z9	ENSG00000031691
Q8N2Z9	ENSG00000175279
Q9BYV8	ENSG00000106477
Q86XR8	ENSG00000166037
Q8NHQ1	ENSG00000114107
Q8TAP6	ENSG00000101624
Q96GE4	ENSG00000258890
Q49MI3	ENSG00000188452
P27544	ENSG00000223802
Q96G23	ENSG00000143418
Q8N5B7	ENSG00000139624
P41208	ENSG00000147400
Q6UXA7	ENSG00000231624;ENSG00000224105;ENSG00000229432;ENSG00000225543;ENSG00000206461;ENSG00000204542
Q9H6K1	ENSG00000196821
Q7Z4R8	ENSG00000185127
Q9H8X3	
H3BNL8	ENSG00000260286
Q8TBY9	ENSG00000158023
Q9Y6A4	ENSG00000070761
Q96G28	ENSG00000163001
Q96MT7	ENSG00000206530
Q96N23	ENSG00000188596
Q8IZ16	ENSG00000185955
Q9H7B7	
P0DN87	ENSG00000196337
Q9BUK0	ENSG00000170791
O14646	ENSG00000153922
O14647	ENSG00000173575
Q12873	ENSG00000170004
P46527	ENSG00000111276
Q49AH0	ENSG00000185267
Q52M75	
Q569G3	ENSG00000185056
A6NGY3	ENSG00000187658
P13569	ENSG00000001626
Q8NI28	
Q96N11	ENSG00000146576
Q8WU49	ENSG00000170279
Q8WVR3	ENSG00000146826
A4D174	
Q8N6G5	ENSG00000169826
Q9UFW8	ENSG00000163320
Q0VF96	ENSG00000128849
Q8N9H6	
Q96NF6	
P0DMQ9	ENSG00000274443
P10809	ENSG00000144381
Q8WUX2	ENSG00000143942
Q96JM3	ENSG00000198824
Q9Y3E7	ENSG00000115561
Q7LGC8	ENSG00000122863
Q8NET6	ENSG00000180767
Q7LFX5	ENSG00000182022
Q9BUW7	ENSG00000171159
B1AMM8	
A6NHY6	
Q5TBE3	ENSG00000187753
Q9Y375	ENSG00000137806
A0PJX0	ENSG00000157884
Q99967	ENSG00000164442
A4QN01	
Q5SWW7	ENSG00000222047
Q8N1V8	
Q5SQS8	ENSG00000183559
Q8N5U0	ENSG00000180878
Q9BRQ4	ENSG00000137691
Q6PI97	ENSG00000183644
A0A1B0GVM6	ENSG00000257057
Q8IYA6	ENSG00000169607
P33552	ENSG00000123975
Q9NQ89	ENSG00000047621
Q8N6U2	
Q8N5I9	ENSG00000151131
Q6X4T0	ENSG00000177627
Q9H3J6	ENSG00000130921
G3V211	
Q6UVW9	ENSG00000188393
P0C7M8	ENSG00000236279
Q9UMR7	ENSG00000111729
Q9UJ71	ENSG00000116031
Q9H2X3	ENSG00000104938
Q9UBD9	ENSG00000175505
O75508	ENSG00000013297
O95500	ENSG00000159261
O95832	ENSG00000163347
Q9Y696	ENSG00000169504
Q96NY7	ENSG00000159212
Q6UXZ3	ENSG00000204345
Q13286	ENSG00000188603
Q92989	ENSG00000172409
P0C854	
P08217	ENSG00000142615
P08218	ENSG00000215704
Q9BZC1	ENSG00000101489
Q9HCU4	ENSG00000143126
Q9NYQ7	ENSG00000008300
P19835	ENSG00000170835
Q8N111	ENSG00000184524
Q9H3R5	ENSG00000153044
Q96BT3	ENSG00000102901
Q5EE01	ENSG00000203760
Q76N32	ENSG00000011523
Q9Y592	ENSG00000173588
Q9Y6K0	ENSG00000134255
Q9HA82	ENSG00000090661
Q6ZMG9	ENSG00000172292
Q9UKY3	
Q5SRN2	ENSG00000206310;ENSG00000232106;ENSG00000206245;ENSG00000204296
Q9GZU0	ENSG00000112308
Q4VX62	
Q5T5N4	ENSG00000112539
Q5SZD1	ENSG00000197261
Q5TEZ4	
Q7Z4U5	ENSG00000185689
Q9UL16	ENSG00000213085
Q8IYW2	ENSG00000171811
Q8N1V2	ENSG00000166596
Q96M91	ENSG00000172361
A6NFT4	ENSG00000186710
Q6ZQR2	ENSG00000188523
Q9P2B7	ENSG00000164323
O15519	ENSG00000003402
A4D0Y5	ENSG00000275356
Q9BUX1	ENSG00000128965
Q6NUI6	ENSG00000100399
O14757	ENSG00000149554
O96017	ENSG00000183765
Q99653	ENSG00000187446
O43745	ENSG00000166869
Q5SZB4	ENSG00000179058
A2RU37	
Q96RK0	ENSG00000079432
Q8IUL8	ENSG00000160161
Q66K79	ENSG00000109625
Q92793	ENSG00000005339
O75828	ENSG00000159231
Q5JTY5	ENSG00000196873
Q14781	ENSG00000173894
P45973	ENSG00000094916
F5H4A9	ENSG00000180044
Q96NT0	ENSG00000136710
Q96CT7	ENSG00000007080
Q96BQ5	ENSG00000164366
Q494R4	ENSG00000248712
P0C7I6	ENSG00000183401
P0CW27	ENSG00000278749;ENSG00000255181
Q8NDH2	ENSG00000175820
P0C221	ENSG00000151838
H3BU77	ENSG00000255359
Q7Z3E2	ENSG00000165813
H7C350	ENSG00000234409
P0DO97	ENSG00000230561
Q8NCU1	
Q9BUN5	ENSG00000160050
Q9NV96	ENSG00000112697
Q96PX6	ENSG00000055813
Q8WUD4	ENSG00000160799
Q5T9S5	ENSG00000122483
Q8N4L8	ENSG00000159214
Q9BV29	ENSG00000128891
Q8N5R6	ENSG00000140481
Q502W7	ENSG00000165972
Q4VC31	ENSG00000160124
Q9H2F9	ENSG00000166510
Q53HC0	ENSG00000275035;ENSG00000119242
Q9BW85	ENSG00000105248
Q9UBN1	ENSG00000075461
Q8WXS5	ENSG00000142408
O95067	ENSG00000157456
P22674	ENSG00000152669
O60563	ENSG00000129315
P46092	ENSG00000184451
P24941	ENSG00000123374
Q00532	ENSG00000100490
Q92772	ENSG00000138769
Q5MAI5	ENSG00000205111
P42772	ENSG00000147883
P55273	ENSG00000129355
Q86X02	ENSG00000109089
Q15517	ENSG00000237114;ENSG00000237165;ENSG00000137197;ENSG00000237123
O14627	ENSG00000131264
Q6UY09	
Q3KPI0	ENSG00000278565;ENSG00000007129
P31997	ENSG00000124469
A8MTT3	ENSG00000218739
P49715	ENSG00000245848
Q5SZQ8	ENSG00000159409
Q8N0S6	ENSG00000120334
Q96MT8	ENSG00000182923
Q96ST8	ENSG00000121289
Q8IW35	ENSG00000182504
O95873	ENSG00000226531;ENSG00000203623;ENSG00000204439;ENSG00000228177;ENSG00000228435;ENSG00000226103;ENSG00000235360
Q5T6M2	
Q5SQH8	ENSG00000233641;ENSG00000204564;ENSG00000224120;ENSG00000237012;ENSG00000233164;ENSG00000237100;ENSG00000206487
P0C671	ENSG00000189325
Q8NDM7	ENSG00000197748
Q6ZU64	ENSG00000181378
Q5T0N1	ENSG00000156042
Q9C0B2	ENSG00000142609
D6REC4	ENSG00000206113
P00751	ENSG00000243649;ENSG00000242335;ENSG00000243570;ENSG00000241253;ENSG00000241534;ENSG00000239754
P05156	ENSG00000205403
A4D0T2	
Q96KT6	
Q8TAG6	ENSG00000169085
E5RJ46	
P61604	ENSG00000115541
P18075	ENSG00000101144
Q13873	ENSG00000204217
O00238	ENSG00000138696
Q7Z465	ENSG00000163141
Q9BWV1	ENSG00000144857
Q8TCZ2	ENSG00000102181
Q8N6G1	
Q8NC38	
Q8WTZ4	
Q8N1I8	
Q9BTV7	ENSG00000149679
Q9NPB3	ENSG00000167791
P57796	ENSG00000175544
Q13936	ENSG00000151067
Q01668	ENSG00000157388
Q15878	ENSG00000198216
Q9P0X4	ENSG00000100346
Q9HBT6	ENSG00000101542
P12830	ENSG00000039068
P22223	ENSG00000062038
P55285	ENSG00000113361
Q9ULB4	ENSG00000113100
Q8NFZ8	ENSG00000105767
Q01518	ENSG00000131236
Q5EG05	ENSG00000204397
O15234	ENSG00000108349
P49662	ENSG00000196954
Q92851	ENSG00000003400
O14958	ENSG00000118729
A6NHX0	ENSG00000274070
P43235	ENSG00000143387
Q5NE16	
P56539	ENSG00000182533
P47755	ENSG00000198898
Q96KX2	ENSG00000177938
Q96LS8	
Q3KRA6	ENSG00000186132
Q9H9S4	ENSG00000102547
Q8N350	ENSG00000099625
Q9ULV8	ENSG00000142273
Q8IUK8	ENSG00000141668
Q8WXQ8	ENSG00000158525
Q96IY4	ENSG00000080618
P16870	ENSG00000109472
Q9Y3M2	ENSG00000100211
Q96M34	ENSG00000163424
A1A4F0	ENSG00000174899
H3BNL1	ENSG00000236980
Q8IYK2	ENSG00000160994
Q8NEF3	ENSG00000164221
Q96M63	ENSG00000105479
Q96HB5	ENSG00000147144
Q17RM4	ENSG00000135637
Q8NCX0	ENSG00000144395
Q4G0S7	ENSG00000198865
A0A096LP49	ENSG00000260220
Q8NCU4	ENSG00000163617
Q6UXH8	ENSG00000183287
Q0P6D6	ENSG00000149548
Q8TAB7	
Q96A33	ENSG00000108588
Q6P9F0	ENSG00000130783
Q6ZRK6	ENSG00000186714
Q8N998	ENSG00000179071
Q9BQI4	ENSG00000151468
Q96M83	ENSG00000216937
Q13895	ENSG00000112578
Q86VB7	ENSG00000177575
Q96L14	
Q8N1F1	
Q96EU7	ENSG00000171155
Q5VWW1	ENSG00000165985
Q9NRR3	ENSG00000158985
Q9UKL3	
Q9H7X2	ENSG00000162817
Q6ZSJ8	ENSG00000197982
Q8N9H9	ENSG00000175262
Q8NDD1	ENSG00000143633
Q5SNV9	ENSG00000215910
Q5T5A4	ENSG00000179902
A0A0U1RR37	ENSG00000282872
Q9Y376	ENSG00000135932
Q9Y6J0	ENSG00000099991
Q96KC9	ENSG00000145309
O75952	ENSG00000154040
O00555	ENSG00000141837
O60840	ENSG00000102001
O95180	ENSG00000196557
Q13698	ENSG00000081248
O75493	ENSG00000063180
P00915	ENSG00000133742
Q5R3K3	ENSG00000188820
P27482	ENSG00000178363
Q8TD86	ENSG00000169885
O43852	ENSG00000128595
Q5T5Y3	ENSG00000130559
O15484	ENSG00000149260
Q9Y6W3	ENSG00000131375
A6NHC0	ENSG00000203697
O14815	ENSG00000135773
P40123	ENSG00000112186
P20160	ENSG00000172232;ENSG00000278624
Q9BWT7	ENSG00000100065
Q96LW7	ENSG00000165233
Q8ND23	ENSG00000186648
P55210	ENSG00000165806
Q14790	ENSG00000064012
Q9NQ75	ENSG00000087589
Q8WTX7	ENSG00000239282
P56202	ENSG00000172543
Q8WU43	ENSG00000273045
Q9NWW7	ENSG00000115998
Q2NKX9	ENSG00000168887
A8MZ97	ENSG00000237651
Q8IVU9	ENSG00000183346
Q13191	ENSG00000114423
Q6UW01	ENSG00000139899
Q9NTU7	ENSG00000054803
Q5U5Z8	ENSG00000165923
Q8NDL9	ENSG00000084693
Q3SXR2	ENSG00000221972
Q8IW40	ENSG00000167131
Q8IYX3	ENSG00000161180
Q96EE4	ENSG00000169193
Q9H6E4	ENSG00000100147
P10092	ENSG00000175868
Q05682	ENSG00000122786
Q13939	ENSG00000185972
P27797	ENSG00000179218
Q8NCB2	ENSG00000164076
Q9UMQ6	ENSG00000137225
A8MX76	ENSG00000214711
Q14444	ENSG00000135387
Q9Y2G2	ENSG00000105483
Q6F5E8	ENSG00000159753
P05814	ENSG00000283030;ENSG00000135222
P42574	ENSG00000164305
P55212	ENSG00000138794
Q13948	ENSG00000257923
P31415	ENSG00000143318
Q9UBX1	ENSG00000174080
Q7Z7H3	ENSG00000158428
O95810	ENSG00000168497
Q8N535	
P22681	ENSG00000110395
Q8IVL8	ENSG00000144410
Q8N4T8	ENSG00000145439
Q4V339	ENSG00000215126
P83916	ENSG00000108468
O00257	ENSG00000141582
Q9HBI5	ENSG00000114405
Q8ND61	ENSG00000131379
Q96BT1	ENSG00000163632
Q6ZVT6	ENSG00000163689
Q5VVM6	ENSG00000186409
Q9UFE4	ENSG00000145075
Q96ER9	ENSG00000164051
Q9Y6R9	ENSG00000104983
P13500	ENSG00000108691
Q9NUG4	ENSG00000101331
Q9BSQ5	ENSG00000136280
P78396	ENSG00000133101
Q8WWL7	ENSG00000147082
O96020	ENSG00000175305
Q14094	ENSG00000118816
Q9P1Z2	ENSG00000012822
P43155	ENSG00000095321
Q13634	ENSG00000145526
Q5T440	ENSG00000181873
Q9ULX7	ENSG00000118298
P00918	ENSG00000104267
P05937	ENSG00000104327
Q96L12	ENSG00000269058
Q16602	ENSG00000064989
Q08AD1	ENSG00000118200
Q9P1Y5	ENSG00000076826
O75808	ENSG00000103326
P40121	ENSG00000042493
Q9ULU8	ENSG00000163618
Q86UW7	ENSG00000081803
Q8WWF8	ENSG00000152611
P57730	ENSG00000255501
Q8WUQ7	ENSG00000105298
Q96LR7	ENSG00000150873
Q6UXQ4	ENSG00000187944
A6NJV1	ENSG00000173557
A6NCS6	ENSG00000204128
Q8N5S3	ENSG00000177994
A6NCI8	ENSG00000187833
Q53S99	ENSG00000042304
P15085	ENSG00000091704
P48052	ENSG00000158516
Q9UI42	ENSG00000128510
P15086	ENSG00000153002
Q8NEM8	ENSG00000146856
Q5VU57	ENSG00000186094
O75976	ENSG00000108582
Q9Y646	ENSG00000104324
Q96HJ3	ENSG00000109881
A2RUB6	ENSG00000180376
A6NI79	ENSG00000198624
Q6NSX1	ENSG00000123171
Q8IV32	ENSG00000177352
A2IDD5	ENSG00000162004
O95273	ENSG00000166946
P62955	ENSG00000105605
P32238	ENSG00000163394
Q16663	ENSG00000275528;ENSG00000275718
P13236	ENSG00000275302;ENSG00000277943;ENSG00000275824
P30281	ENSG00000112576
P51959	ENSG00000113328
Q6W349	
Q53FE4	ENSG00000138813
P08571	ENSG00000170458
Q5M9N0	ENSG00000163749
Q99467	ENSG00000134061
P06126	ENSG00000158477
P29017	ENSG00000158481
P15813	ENSG00000158473
Q86Y33	ENSG00000164287
P26842	ENSG00000139193
P10747	ENSG00000178562
O95400	ENSG00000169217
Q9NPF0	ENSG00000167775
P16671	ENSG00000135218
P04234	ENSG00000167286
Q9NXV6	ENSG00000168564
Q5VZK9	ENSG00000079691
Q8IU53	
Q96PB1	ENSG00000127995
P07498	ENSG00000171209
Q13166	
Q9UBR2	ENSG00000101160
A6NN90	
A0A1B0GVN3	ENSG00000228486
Q6P9G0	ENSG00000182224
P08185	ENSG00000277405;ENSG00000170099
P55773	ENSG00000276114;ENSG00000274736
P41002	ENSG00000162063
Q8IV13	ENSG00000135083
O14618	ENSG00000173992
Q504U0	ENSG00000205208
Q6YHK3	ENSG00000156535
P21127	
P20138	ENSG00000105383
P28906	ENSG00000174059
Q08722	ENSG00000196776
Q9BXL8	ENSG00000170779
Q9HBB8	ENSG00000099834
O75956	ENSG00000167797
Q7Z6I8	ENSG00000181904
Q9H5L9	
O60308	ENSG00000116198
Q9P2H0	ENSG00000110318
Q8TEP8	ENSG00000101639
O15078	ENSG00000198707
Q8IYX8	ENSG00000183137
Q5SZL2	ENSG00000111860
O75871	ENSG00000274131;ENSG00000105352
P06731	ENSG00000105388
Q14002	ENSG00000007306
P17676	ENSG00000172216
Q03701	ENSG00000115816
Q16739	ENSG00000148154
Q96J87	ENSG00000140488
B2RD01	ENSG00000177946
P49454	ENSG00000117724
Q8TCT0	ENSG00000100422
Q8IU89	ENSG00000154227
P00450	ENSG00000047457
Q12798	ENSG00000177143
O15182	ENSG00000153140
P11597	ENSG00000087237
Q5T4I8	ENSG00000137434
Q5JQF7	ENSG00000233566;ENSG00000237313;ENSG00000206526;ENSG00000231041;ENSG00000237634
P15169	ENSG00000120054
P16152	ENSG00000159228
Q9BRT8	ENSG00000172785
Q5RIA9	ENSG00000147996
Q13185	ENSG00000122565
O95503	ENSG00000183741
Q8N5N4	ENSG00000180697
Q6P1S2	ENSG00000174928
P0CE67	
A0A1B0GTC6	ENSG00000241224
Q8TBZ0	ENSG00000168491
Q5T0U0	ENSG00000151773
Q96M89	ENSG00000163006
Q8IYE0	ENSG00000135205
Q6ZUS6	ENSG00000181982
Q569K6	ENSG00000187860
Q8NHW4	ENSG00000282604;ENSG00000276125;ENSG00000276070;ENSG00000275313
Q3MIR4	ENSG00000182107
Q96LY2	ENSG00000152076
O60826	ENSG00000101997
Q2M243	ENSG00000162592
Q4G0X9	ENSG00000141519
Q2TAC2	ENSG00000176155
Q567U6	ENSG00000125633
Q16204	ENSG00000108091
Q9Y3X0	ENSG00000105321
Q8TC90	ENSG00000197651
I3L3R5	ENSG00000283099;ENSG00000262484
Q06432	ENSG00000108878
Q9Y698	ENSG00000166862
Q8WXS4	ENSG00000171227
P51671	ENSG00000172156
Q99616	ENSG00000181374
P55774	ENSG00000278006;ENSG00000275385;ENSG00000278167
P22362	ENSG00000108702
P78556	ENSG00000115009
O00585	ENSG00000137077
O00175	ENSG00000106178
Q9Y4X3	ENSG00000213927
Q9NRJ3	ENSG00000151882
P13501	ENSG00000271503;ENSG00000274233
P30279	ENSG00000118971
Q16589	ENSG00000138764
P51946	ENSG00000134480
O75909	ENSG00000090061
Q96S94	ENSG00000221978
P51681	ENSG00000160791
P32248	ENSG00000126353
O00421	ENSG00000121797
Q96KX1	ENSG00000163633
Q96LM5	ENSG00000164123
C9J302	ENSG00000237136
Q9UQ88	ENSG00000008128
O75794	ENSG00000151465
P11836	ENSG00000156738
P20273	ENSG00000012124
Q9BZW8	ENSG00000122223
P06729	ENSG00000116824
P31358	ENSG00000169442
P21854	ENSG00000137101
P11912	ENSG00000105369
Q12834	ENSG00000117399
Q9UJX2	ENSG00000094880
O14519	ENSG00000111328
Q5VV42	ENSG00000145996
Q4KMG0	ENSG00000064309
Q9Y6F8	ENSG00000172288;ENSG00000172352
Q9Y232	ENSG00000153046
Q96MH7	ENSG00000172244
A6NFR6	ENSG00000204661
Q6ZU80	ENSG00000100629
A8MTB9	
Q7Z692	ENSG00000186567
P40199	ENSG00000086548
Q8N7Q2	
P53567	ENSG00000153879
Q9BXF3	ENSG00000099954
P47710	ENSG00000126545
P29466	ENSG00000137752
P42575	ENSG00000106144
P51636	ENSG00000105971
Q5BKX8	ENSG00000170681
Q580R0	
Q6ZV80	ENSG00000205086
P15088	ENSG00000163751
Q8N4T0	ENSG00000165078
P14384	ENSG00000135678
Q5JPI3	ENSG00000179021
Q86Z20	ENSG00000277868;ENSG00000183323
Q6ZRS4	ENSG00000180347
P13994	ENSG00000104957
Q96JN2	ENSG00000128596
A6NGH7	ENSG00000203952
A6NNP5	ENSG00000242715
Q6TFL3	ENSG00000164989
Q5T5S1	ENSG00000213213
Q8N715	ENSG00000178395
A1A4V9	ENSG00000196118
A0A1B0GVG4	ENSG00000269720
Q1T7F1	
Q8IYE1	ENSG00000244607
P80098	ENSG00000108688
P20248	ENSG00000145386
P14635	ENSG00000134057
P24385	ENSG00000110092
Q5T5M9	ENSG00000107443
P32246	ENSG00000163823
P51677	ENSG00000183625
Q9H7U1	ENSG00000107771
P0C7X3	
P86790	ENSG00000146574
P86791	ENSG00000122674
Q99440	
Q8IY42	ENSG00000154274
Q6V702	ENSG00000197826
P07766	ENSG00000198851
P20963	ENSG00000198821
P16070	ENSG00000026508
P09326	ENSG00000117091
Q15078	ENSG00000176749
P34810	ENSG00000129226
P33681	ENSG00000121594
P60033	ENSG00000110651
A6NJW9	
Q9BWV3	ENSG00000102543
Q8IWY9	ENSG00000140326
Q99459	ENSG00000096401
O00311	ENSG00000097046
Q5VXM1	ENSG00000157211
P32320	ENSG00000158825
Q15131	ENSG00000185324
Q9NYV4	ENSG00000167258
Q96Q40	ENSG00000138395
Q9BWU1	ENSG00000155111
P06493	ENSG00000170312
Q16667	ENSG00000100526
Q96T59	ENSG00000223510
O75052	ENSG00000198929
Q9BX69	ENSG00000132357
Q9H257	ENSG00000187796
Q14511	ENSG00000111859
P51878	ENSG00000137757
P55211	ENSG00000132906
P07858	ENSG00000164733
P53634	ENSG00000109861
P14091	ENSG00000196188
P09668	ENSG00000103811
Q9BXY5	ENSG00000180881
Q0P641	ENSG00000188674
Q9UPW5	ENSG00000135049
Q96MI9	ENSG00000273540
P0DN79	ENSG00000274276
Q8IUF1	ENSG00000136682
O95931	ENSG00000100307
A6NI87	ENSG00000204659;ENSG00000283718
Q9UK00	ENSG00000088543
Q8N813	ENSG00000214324
Q6ZRV3	
Q9BWC9	ENSG00000173581
Q8WV48	ENSG00000159884
Q9H0I3	ENSG00000103021
Q8IWD4	ENSG00000159873
Q6ZUS5	ENSG00000176714
Q6PK04	ENSG00000185298
Q96MF4	ENSG00000163081
Q8NFR7	ENSG00000153237
O60729	ENSG00000081377
A5D8V7	ENSG00000198003
A6NI56	ENSG00000197599
Q9P0B6	ENSG00000198937
Q8IYT3	ENSG00000120262
P0C7W6	ENSG00000182645
Q9NQR7	ENSG00000267909
Q5BJE1	ENSG00000166960
Q9P1Z9	ENSG00000197816
A6NF36	ENSG00000166329
Q52MB2	ENSG00000177875
A0A1B0GUA6	ENSG00000283428
Q9NVL8	ENSG00000100557
Q8IX12	ENSG00000060339
Q8N163	ENSG00000158941
Q86WR0	ENSG00000147419
Q96M95	ENSG00000161973
Q96MW1	ENSG00000180329
Q8NEL0	ENSG00000138483
Q8IWA6	ENSG00000183273
Q8NA47	ENSG00000173093
Q8IXS2	ENSG00000139537
Q9BR77	ENSG00000120647
Q6ZN84	ENSG00000149201
Q8N4S0	ENSG00000149231
Q86UT8	ENSG00000280975;ENSG00000186166
Q7Z6B0	ENSG00000123106
Q2M329	ENSG00000173013
Q9H0W5	ENSG00000169515
Q8TD31	ENSG00000204536;ENSG00000206355;ENSG00000234114;ENSG00000206457
P53701	ENSG00000004961
Q99731	ENSG00000172724
P0C6P0	
Q5H9F3	ENSG00000085185
Q3B7T3	ENSG00000166546
Q13515	ENSG00000170819
P16278	ENSG00000170266
Q15582	ENSG00000120708
Q7RTS1	ENSG00000180535
Q9C0J9	ENSG00000123095
Q6UXY1	ENSG00000128298
Q6ZP65	ENSG00000135127
P53004	ENSG00000106605
Q9Y6D5	ENSG00000124198
P22004	ENSG00000153162
P34820	ENSG00000116985
Q96FH0	ENSG00000254901
Q8NFQ5	ENSG00000167104
P50747	ENSG00000159267
Q96A19	ENSG00000135736
Q99622	ENSG00000111678
P15538	ENSG00000160882
Q3MJ40	
Q13901	ENSG00000197223
P02745	ENSG00000173372
Q6UB35	ENSG00000120254
Q96MC4	ENSG00000178404
Q96NR2	
A6NLJ0	ENSG00000205502
Q53TS8	ENSG00000155754
Q6ZSU1	
P04003	ENSG00000123838
Q9H0H9	
Q5JT78	
Q3SY05	
Q8NAE3	
B1AJZ1	
Q8IVY1	ENSG00000253313
A1L170	ENSG00000239887
P54289	ENSG00000153956
Q9NY47	ENSG00000007402
Q9H8G2	ENSG00000120159
Q8TDN4	ENSG00000134508
Q9NP86	ENSG00000105507
Q9BXU9	ENSG00000183166
Q00975	ENSG00000148408
O43497	ENSG00000006283
O00305	ENSG00000182389
A0ZSE6	
Q96AQ1	ENSG00000163040
A6NKD9	ENSG00000205476
Q9GZT6	ENSG00000137500
Q96LX7	ENSG00000159588
Q8IWF9	ENSG00000150676
Q9NVE4	ENSG00000182791
Q96F63	ENSG00000142039
Q6ZUT6	ENSG00000188549
O60359	ENSG00000006116
Q9BXT2	ENSG00000130433
P06307	ENSG00000187094
O15467	ENSG00000275152;ENSG00000275095
Q92583	ENSG00000102970
Q9Y258	ENSG00000006606
P10147	ENSG00000278567;ENSG00000274221;ENSG00000277632
P24864	ENSG00000105173
Q6ZMN8	ENSG00000205089
Q9UK58	ENSG00000163660
Q8N1B3	ENSG00000262919
Q8ND76	ENSG00000108100
P51686	ENSG00000173585
Q9C0I3	ENSG00000184305
Q9Y5K6	ENSG00000198087
Q7L3B6	ENSG00000106993
P28907	ENSG00000004468
P19397	ENSG00000143119
P09564	ENSG00000173762
P42773	ENSG00000123080
P51861	ENSG00000184258
Q01850	ENSG00000140743
Q8N9R6	ENSG00000239704
Q9H211	ENSG00000167513
P47902	ENSG00000113722
Q9Y6F7	ENSG00000182415;ENSG00000129873
Q8NAS9	
Q96GV9	ENSG00000181751
Q6UWT4	ENSG00000178776
Q2M2E5	
Q5TB80	ENSG00000135315
Q5SW79	ENSG00000143702;ENSG00000276725
Q2WEN9	ENSG00000213892
P13688	ENSG00000079385
Q9H8W2	
Q96MT4	
Q8IYR0	ENSG00000272514
Q96MR6	ENSG00000243710
Q8NHU2	ENSG00000089101
Q9UEE9	ENSG00000153774
P30443	ENSG00000229215;ENSG00000224320
P01889	ENSG00000234745
P03989	ENSG00000224608
P18463	ENSG00000206450
P30480	ENSG00000234745
P30481	ENSG00000228964
P30485	ENSG00000224608
P30488	ENSG00000232126
P18464	ENSG00000206450
P18465	ENSG00000224608
Q29940	ENSG00000206450
P30508	ENSG00000228299
Q66LE6	ENSG00000175470
P04229	ENSG00000196126
P13761	ENSG00000229074;ENSG00000236884
Q4LEZ3	ENSG00000205002
Q8NHS2	ENSG00000169154
Q5VST6	ENSG00000107362
Q9NRK6	ENSG00000135776
Q96J66	ENSG00000121270
P45844	ENSG00000160179
Q9H172	ENSG00000172350
Q9H222	ENSG00000138075
Q0P651	ENSG00000164074
Q9P1F3	ENSG00000146386
O00763	ENSG00000076555
Q9UKU7	ENSG00000151498
P28330	ENSG00000115361
P45954	ENSG00000196177
Q9UKV3	ENSG00000100813
P25106	ENSG00000144476
Q9Y614	ENSG00000148156
Q8N9L9	ENSG00000177465
Q9Y305	ENSG00000123130
Q99424	ENSG00000168306
Q6ZNF0	ENSG00000183760
Q4G176	ENSG00000176715
Q4L235	ENSG00000157426
Q08AH1	ENSG00000166743
Q562R1	ENSG00000169067
P60709	ENSG00000075624
P68133	ENSG00000143632
P42025	ENSG00000115073
P07311	ENSG00000119640
O43184	ENSG00000148848
Q13444	ENSG00000143537
